"","stockid","assessid","stocklong","bioid","biovalue"
"243","GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast South","SSBmsy-MT",180
"244","SARDPCOAST","SWFSC-SARDPCOAST-1981-2007-PINSKY","Pacific sardine Pacific Coast","MSY-MT",250000
"245","SARDPCOAST","SWFSC-SARDPCOAST-1981-2007-PINSKY","Pacific sardine Pacific Coast","Fmsy-1/yr",0.15
"246","SARDPCOAST","SWFSC-SARDPCOAST-1981-2007-PINSKY","Pacific sardine Pacific Coast","SSBmsy-MT",988385
"247","SBELLYROCKPCOAST","SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Shortbelly rockfish Pacific Coast","B0-MT",98400
"248","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","Starry flounder Northern Pacific Coast","B0-MT",12102
"249","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","Starry flounder Northern Pacific Coast","MSY-MT",818
"250","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","Starry flounder Northern Pacific Coast","SSBmsy-MT",1930
"251","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","Starry flounder Northern Pacific Coast","Umsy-ratio",0.169
"252","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","Starry flounder Southern Pacific Coast","B0-MT",5854
"253","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","Starry flounder Southern Pacific Coast","MSY-MT",396
"254","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","Starry flounder Southern Pacific Coast","SSBmsy-MT",934
"255","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","Starry flounder Southern Pacific Coast","Umsy-ratio",0.169
"2071","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","Bocaccio Southern Pacific Coast","B0-MT",45476
"2081","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","Bocaccio Southern Pacific Coast","FMSY-1/yr",0.084
"209","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","Bocaccio Southern Pacific Coast","MSY-MT",1378
"210","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","Cowcod Southern California","SSB0-MT",1549
"211","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","Cowcod Southern California","SSBmsy-MT",629
"2121","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","Cowcod Southern California","Fmsy-1/MT",0.055
"2131","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","Darkblotched rockfish Pacific Coast","B0-MT",36171
"2141","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","Darkblotched rockfish Pacific Coast","Fmsy-1/yr",0.0665
"2151","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","Darkblotched rockfish Pacific Coast","MSY-MT",742
"216","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","Darkblotched rockfish Pacific Coast","SSBmsy-E08eggs",819
"217","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","Pacific hake Pacific Coast","SSBmsy-MT",347000
"218","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","Pacific hake Pacific Coast","MSY-MT",363000
"219","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","Pacific hake Pacific Coast","Fmsy-1/T",0.342
"2201","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","Pacific hake Pacific Coast","B0-MT",2132000
"2211","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","Aurora rockfish Pacific Coast","SSBmsy-MT",648
"2221","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","Aurora rockfish Pacific Coast","MSY-MT",79
"2231","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","Aurora rockfish Pacific Coast","Umsy-ratio",0.051
"2241","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","Rougheye and Blackspotted rockfish complex Pacific Coast","B0-MT",5394
"2251","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","Rougheye and Blackspotted rockfish complex Pacific Coast","Umsy-ratio",0.053
"2261","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","Rougheye and Blackspotted rockfish complex Pacific Coast","SSBmsy-MT",1305
"2271","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","Rougheye and Blackspotted rockfish complex Pacific Coast","MSY-mt",230
"2281","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","Longspine thornyhead Pacific Coast","SSB-MSY",13108
"2291","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","Longspine thornyhead Pacific Coast","Umsy-ratio",0.071
"2301","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","Longspine thornyhead Pacific Coast","MSY-MT",2529
"2311","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","Petrale sole Pacific Coast","SSBmsy-MT",7146
"2321","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","Petrale sole Pacific Coast","Umsy-ratio",0.19
"2331","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","Petrale sole Pacific Coast","MSY-MT",2761
"2341","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","Shortspine thornyhead Pacific Coast","SSBmsy-MT",64600
"2351","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","Shortspine thornyhead Pacific Coast","MSY-MT",2062
"2361","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","Shortspine thornyhead Pacific Coast","Umsy-ratio",0.018
"2371","POLLNE","NEFSC-POLLNE-1963-2009-KURIYAMA","Pollock NAFO","SSBmsy-MT",91000
"2381","POLLNE","NEFSC-POLLNE-1963-2009-KURIYAMA","Pollock NAFO","ERmsy-ratio",0.25
"2391","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","Winter Flounder Southern New England-Mid Atlantic","SSBmsy-MT",43661
"2401","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","Winter Flounder Southern New England-Mid Atlantic","Fmsy",0.29
"2411","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","Winter Flounder Southern New England-Mid Atlantic","MSY-MT",11728
"2421","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","Atlantic cod Gulf of Maine","SSBmsy-MT",54753
"2431","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","Atlantic cod Gulf of Maine","Fmsy",0.18
"2441","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","Atlantic cod Gulf of Maine","MSY-MT",5254
"2451","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","Yellowtail Flounder Southern New England-Mid Atlantic","Fmsy",0.316
"2461","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","Yellowtail Flounder Southern New England-Mid Atlantic","SSBmsy-MT",2995
"2471","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","Yellowtail Flounder Southern New England-Mid Atlantic","MSY-MT",773
"2481","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA","Atlantic cod Georges Bank","Fmsy",0.18
"2491","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA","Atlantic cod Georges Bank","SSBmsy-MT",186535
"2501","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","White hake Georges Bank / Gulf of Maine","SSBmsy-MT",32400
"2511","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","White hake Georges Bank / Gulf of Maine","Fmsy",0.2
"2521","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","White hake Georges Bank / Gulf of Maine","MSY-MT",5630
"2531","HAD5Y","NEFSC-HAD5Y-2004-2013-KURIYAMA","Haddock NAFO-5Y","SSBmsy-MT",4108
"2541","HAD5Y","NEFSC-HAD5Y-2004-2013-KURIYAMA","Haddock NAFO-5Y","Fmsy",0.46
